epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3246,3.72332,2.94544,2.9345,0.0001,0.10074,0.00017,4e-05,3.27343,6.39565,2.79536,0.000325397,0.000325397,0.0677857
2,50.12,2.94799,2.25973,2.44004,0.00012,0.13333,0.0002,8e-05,2.43035,6.64261,2.35902,0.000654716,0.000654716,0.0347817
3,77.9559,2.54933,2.14445,2.24112,0.00017,0.06667,0.00174,0.00076,2.01246,7.24201,2.23399,0.000968029,0.000968029,0.00176168
4,102.761,2.3165,1.99812,2.05974,0.00028,0.00148,0.00044,0.00025,2.10901,6.66972,2.22787,0.000946048,0.000946048,0.000946048
5,126.773,2.02554,1.72124,1.89995,0.01871,0.0537,0.02606,0.01643,1.8808,7.11548,2.17872,0.000905463,0.000905463,0.000905463
6,151.155,1.77109,1.45314,1.76996,0.08288,0.06443,0.01696,0.01134,1.80599,6.9552,2.10664,0.000855018,0.000855018,0.000855018
7,177.944,1.63538,1.32265,1.68402,0.09107,0.08815,0.03618,0.02492,1.79621,7.2577,2.04353,0.000795954,0.000795954,0.000795954
8,203.182,1.56222,1.20299,1.62767,0.04162,0.10037,0.05424,0.03488,1.7243,7.04898,1.98437,0.000729725,0.000729725,0.000729725
9,233.877,1.45958,1.12429,1.55329,0.06227,0.11349,0.08017,0.05283,1.74345,6.76612,1.98478,0.000657963,0.000657963,0.000657963
10,258.43,1.38973,1.06026,1.52303,0.04912,0.10519,0.07544,0.05726,1.74661,7.09491,1.9777,0.000582435,0.000582435,0.000582435
11,281.701,1.13216,1.05163,1.52129,0.05767,0.1,0.09456,0.05607,1.76453,7.34526,2.01194,0.000505,0.000505,0.000505
12,307.002,0.95979,0.84292,1.40667,0.06003,0.09136,0.07711,0.05211,1.78567,6.89146,2.02439,0.000427565,0.000427565,0.000427565
13,340.102,0.91328,0.75359,1.3231,0.08241,0.11111,0.09792,0.07456,1.8,6.88632,2.01672,0.000352037,0.000352037,0.000352037
14,368.075,0.87701,0.68625,1.2841,0.08638,0.10447,0.09002,0.06137,1.79488,6.84419,1.98026,0.000280275,0.000280275,0.000280275
15,393.195,0.85766,0.645,1.27098,0.08769,0.11226,0.08817,0.0613,1.76901,6.84581,1.98218,0.000214046,0.000214046,0.000214046
16,417.287,0.81661,0.62949,1.24255,0.08509,0.10507,0.08331,0.06051,1.79039,6.86809,1.99006,0.000154982,0.000154982,0.000154982
17,441.567,0.80982,0.61632,1.23473,0.08402,0.10963,0.08781,0.05779,1.74909,6.93931,1.97884,0.000104537,0.000104537,0.000104537
18,466.103,0.81619,0.61998,1.23427,0.08501,0.11083,0.0877,0.06649,1.74747,6.87303,1.96244,6.39518e-05,6.39518e-05,6.39518e-05
19,490.602,0.79323,0.59365,1.21515,0.08605,0.11086,0.09083,0.06505,1.73406,6.88853,1.95565,3.4227e-05,3.4227e-05,3.4227e-05
20,514.184,0.76841,0.58877,1.20289,0.08471,0.10906,0.09088,0.06531,1.73426,6.90557,1.95485,1.60943e-05,1.60943e-05,1.60943e-05
